*コンボ数順/かんたん/200コンボ未満 [#title]
#contents
|CENTER:59|>|CENTER:83|BGCOLOR(white):|c
|難易度|>|項目||h
|BGCOLOR(orangered):かんたん|[[200コンボ以上>コンボ数順/かんたん]]|200コンボ未満||
|BGCOLOR(lime):ふつう|[[300コンボ以上>コンボ数順/ふつう]]|[[300コンボ未満>コンボ数順/ふつう(300コンボ未満)]]|~|
|BGCOLOR(cyan):むずかしい|[[500コンボ以上>コンボ数順/むずかしい]]|[[500コンボ未満>コンボ数順/むずかしい(500コンボ未満)]]|~|
|BGCOLOR(magenta):おに|[[600コンボ以上>コンボ数順/おに]]|[[600コンボ未満>コンボ数順/おに(600コンボ未満)]]|~|
-譜面分岐がある譜面は太字になっています。

//|~|[[>難易度表/かんたん/]]||

**曲ごとの最大コンボ数(200コンボ未満) [#song]
-同じコンボ数の場合は登場が早い順番に並べてあります。
***150〜199 [#more150]
|CENTER:46|||c
|100|[[ダンシング！夏祭り>難易度表/かんたん/ダンシング！夏祭り]]|[[サタデー太鼓フィーバー(裏)>難易度表/かんたん/サタデー太鼓フィーバー(裏譜面)]]|
|~|[[UNITE!>難易度表/かんたん/UNITE!]]||
|~|[[愛をとりもどせ!!>難易度表/かんたん/愛をとりもどせ！！]](AC4)||
|~|[[サタデー太鼓フィーバー>難易度表/かんたん/サタデー太鼓フィーバー]]||
|~|[[そばかす>難易度表/かんたん/そばかす]](AC5,6)||
|~|[[遥か彼方>難易度表/かんたん/遙か彼方]]||
|~|[[負けないで>難易度表/かんたん/負けないで]]||
|~|[[お祭り忍者>難易度表/かんたん/お祭り忍者]]||
|~|[[未来の地図>難易度表/かんたん/未来の地図]]||
|~|[[さくら>難易度表/かんたん/さくら(ケツメイシ)]]||
|~|[[粉雪>難易度表/かんたん/粉雪]]||
|~|[[POP STAR>難易度表/かんたん/POP STAR]]||
|~|[[Brightdown>難易度表/かんたん/Brightdown]]||
|~|[[手と手つないでハートもリンク!!>難易度表/かんたん/手と手つないでハートもリンク!!]]||
|~|[[ハロー！ハロウィン>難易度表/かんたん/ハロー！ハロウィン]](Wii2除く)||
|~|[[ユカイ ツーカイ怪物くん>難易度表/かんたん/ユカイ ツーカイ怪物くん]]||
|~|[[フライングゲット>難易度表/かんたん/フライングゲット]]||
|~|[[ソウルキャリバーV The Invincible Blade>難易度表/かんたん/ソウルキャリバーV]]||
|~|[[どきどき☆どんちゃん騒ぎ>難易度表/かんたん/どきどき☆どんちゃん騒ぎ]]||
|~|[[ラブソングはとまらないよ>難易度表/かんたん/ラブソングはとまらないよ]]||
|~|[[Highschool&#9825;love>難易度表/かんたん/Highschool・love]]||
|~|[[Thank You!>難易度表/かんたん/Thank You!]]||
|~|[[マジで…!?>難易度表/かんたん/マジで…！？]]||
|~|[[Butter-Fly>難易度表/かんたん/Butter-Fly]]||
|~|[[TOKIMEKIエスカレート>難易度表/かんたん/TOKIMEKIエスカレート]]||
|~|[[YouTubeテーマソング>難易度表/かんたん/YouTubeテーマソング]]||
|~|[[高嶺の花子さん>難易度表/かんたん/高嶺の花子さん]]||
|~|[[WARNING×WARNING×WARNING>難易度表/かんたん/WARNING×WARNING×WARNING]]||
|~|[[トンガチン>難易度表/かんたん/トンガチン]]||
|~|[[イヌノノリモノ>難易度表/かんたん/イヌノノリモノ]]||
|~|[[What's in the box?>難易度表/かんたん/What's in the box?]]||
|~|[[インディ・ジョーンズのテーマ>難易度表/かんたん/インディ・ジョーンズのテーマ]]||

***50〜99[#more50] 
|CENTER:46|||c
|最大&br;コンボ数|>|CENTER:曲名|h
|~|CENTER:表譜面|CENTER:裏譜面・2人用|h
|99|[[シーソーゲーム 〜勇敢な恋の歌〜>難易度表/かんたん/シーソーゲーム]]|[[ココロオドル>難易度表/かんたん/ココロオドル]](2人用)|
|~|[[亜麻色の髪の乙女>難易度表/かんたん/亜麻色の髪の乙女]]|[[クラシックメドレー(ホームパーティ編)>難易度表/かんたん/クラシックメドレー(ホームパーティ編)]](2人用2P)|
|~|[[クラリネットをこわしちゃった>難易度表/かんたん/クラリネットをこわしちゃった]]||
|~|[[ignited-イグナイテッド->難易度表/かんたん/ignited-イグナイテッド-]]||
|~|[[プリンセスはあきらめない>難易度表/かんたん/プリンセスはあきらめない]]||
|~|[[線路は続くよどこまでも>難易度表/かんたん/線路は続くよどこまでも]]||
|~|[[I SHOULD BE SO LUCKY>難易度表/かんたん/I SHOULD BE SO LUCKY]]||
|~|[[CLOSER>難易度表/かんたん/CLOSER]]||
|~|[[小さな掌>難易度表/かんたん/小さな掌]]||
|~|[[FIREWORKS>難易度表/かんたん/FIREWORKS]]||
|~|[[笑顔にカンパイ！>難易度表/かんたん/笑顔にカンパイ！]]||
|~|[[READY!!>難易度表/かんたん/READY!!]](PSVitaMS)||
|~|[[かくしん的☆めたまるふぉ〜ぜっ！>難易度表/かんたん/かくしん的☆めたまるふぉ〜ぜっ！]]||
|~|[[365日の紙飛行機>難易度表/かんたん/365日の紙飛行機]]||
|~|[[シャルル>難易度表/かんたん/シャルル]]||
|~|[[ヒミツキチューバー>難易度表/かんたん/ヒミツキチューバー]]||
|~|[[グランドエスケープ>難易度表/かんたん/グランドエスケープ]]||
|98|[[いぬのおまわりさん>難易度表/かんたん/いぬのおまわりさん]](〜AC7)||
|~|[[ドラマチック>難易度表/かんたん/ドラマチック]]||
|~|[[Promise>難易度表/かんたん/Promise]]||
|~|[[ロビンソン>難易度表/かんたん/ロビンソン]]||
|~|[[マツケンサンバII>難易度表/かんたん/マツケンサンバII]]||
|~|[[銀色の空>難易度表/かんたん/銀色の空]]||
|~|[[366日>難易度表/かんたん/366日]]||
|~|[[ホタルノヒカリ>難易度表/かんたん/ホタルノヒカリ]]||
|~|[[ルパン三世>難易度表/かんたん/ルパン三世]]||
|~|[[Butterfly>難易度表/かんたん/Butterfly(木村カエラ)]](木村カエラ)||
|~|[[ウルトラセブンの歌>難易度表/かんたん/ウルトラセブンの歌]]||
|~|[[Miracle Go! プリンセスプリキュア>難易度表/かんたん/Miracle Go! プリンセスプリキュア]]||
|~|[[Feed A>難易度表/かんたん/Feed A]]||
|~|[[DAY×DAY>難易度表/かんたん/DAY×DAY]]||
|~|[[風花>難易度表/かんたん/風花]]||
|~|[[ココロボ>難易度表/かんたん/ココロボ]]||
|~|[[怪物>難易度表/かんたん/怪物]]||
|97|[[きよしのズンドコ節>難易度表/かんたん/きよしのズンドコ節]]|[[あじゃぱー>難易度表/かんたん/あじゃぱー]](2人用)|
|~|[[もりのくまさん>難易度表/かんたん/もりのくまさん]]||
|~|[[Grip!>難易度表/かんたん/Grip!]]||
|~|[[The Loco-Motion>難易度表/かんたん/The Loco-Motion]]||
|~|[[DANZEN! ふたりはプリキュア (Ver.Max Heart)>難易度表/かんたん/DANZEN! ふたりはプリキュア (Ver.Max Heart)]]||
|~|[[気がつけば あなた>難易度表/かんたん/気がつけば　あなた]]||
|~|[[恋のPecori&#9825;Lesson>難易度表/かんたん/恋のPecori Lesson]]||
|~|[[ハッピー☆彡>難易度表/かんたん/ハッピー☆彡]]||
|~|[[Lifetime Respect -女編->難易度表/かんたん/Lifetime Respect -女編-]]||
|~|[[改變自己>難易度表/かんたん/改變自己]]||
|~|[[オオカミ少年ケンのテーマ>難易度表/かんたん/オオカミ少年ケンのテーマ]]||
|~|[[MISTER>難易度表/かんたん/MISTER]]||
|~|[[恋の処方箋>難易度表/かんたん/恋の処方箋]]||
|~|[[EZ DO DANCE>難易度表/かんたん/EZ DO DANCE]](Wii5)||
|~|[[Dance My Generation>難易度表/かんたん/Dance My Generation]]||
|~|[[夢幻の蒼空>難易度表/かんたん/夢幻の蒼空]]||
|~|[[初恋峠でゲラゲラポー>難易度表/かんたん/初恋峠でゲラゲラポー]]||
|~|[[あったかいんだからぁ♪>難易度表/かんたん/あったかいんだからぁ♪]]||
|~|[[ハートスランプ二人ぼっち>難易度表/かんたん/ハートスランプ二人ぼっち]]||
|~|[[920 feat.小宇>難易度表/かんたん/920 feat.小宇]]||
|~|[[Baladium's drive>難易度表/かんたん/Baladium's drive]]||
|~|[[my song>難易度表/かんたん/my song]]||
|~|[[シオカラ節>難易度表/かんたん/シオカラ節]]||
|~|[[ハンロック>難易度表/かんたん/ハンロック]]||
|~|[[Howling>難易度表/かんたん/Howling]]||
|~|[[魔訶不思議アドベンチャー！>難易度表/かんたん/魔訶不思議アドベンチャー!]](NS1〜)||
|~|[[乙女解剖>難易度表/かんたん/乙女解剖]]||
|~|[[春を告げる>難易度表/かんたん/春を告げる]]||
|~|[[YES or YES>難易度表/かんたん/YES or YES]]||
|96|[[DANZEN! ふたりはプリキュア>難易度表/かんたん/DANZEN! ふたりはプリキュア]]|[[ABCの歌>難易度表/かんたん/ABCの歌]](2人用)|
|~|[[Lady Marmalade>難易度表/かんたん/Lady Marmalade]]||
|~|[[EZ DO DANCE>難易度表/かんたん/EZ DO DANCE]](Wii5除く)||
|~|[[勇気100％>難易度表/かんたん/勇気100％]]||
|~|[[そばにいるね>難易度表/かんたん/そばにいるね]]||
|~|[[アンパンマンのマーチ>難易度表/かんたん/アンパンマンのマーチ]](Wii1)||
|~|[[Over the Future>難易度表/かんたん/Over the Future]]||
|~|[[Many wow bang!>難易度表/かんたん/Many wow bang!]]||
|~|[[Hacking to the Gate>難易度表/かんたん/Hacking to the Gate]]||
|~|[[ココロ転がせっ！>難易度表/かんたん/ココロ転がせっ！]]||
|~|[[「HERO」 -Main Title->難易度表/かんたん/「HERO」 -Main Title-]]||
|~|[[フラワーガール>難易度表/かんたん/フラワーガール]]||
|~|[[QUESTION>難易度表/かんたん/QUESTION]]||
|~|[[SHINY>難易度表/かんたん/SHINY]]||
|~|[[二人の結晶-INNOCENCE->難易度表/かんたん/二人の結晶-INNOCENCE-]]||
|~|[[極楽浄土>難易度表/かんたん/極楽浄土]]||
|~|[[AIAIAI (feat.中田ヤスタカ)>難易度表/かんたん/AIAIAI (feat.中田ヤスタカ)]]||
|~|[[Favorite Days>難易度表/かんたん/Favorite Days]]||
|95|[[ドンパン節>難易度表/かんたん/ドンパン節]]|[[I'm A Slave 4 U>難易度表/かんたん/I'm A Slave 4 U]](2人用2P)|
|~|[[Killer Queen>難易度表/かんたん/Killer Queen]](2人用1P含む)|[[二人の結晶-INNOCENCE->難易度表/かんたん/二人の結晶-INNOCENCE-]](2人用)|
|~|[[モンキー・マジック>難易度表/かんたん/モンキー・マジック]]|[[【双打】 Extreme MGG★★★>難易度表/かんたん/【双打】 Extreme MGG★★★]](1P)|
|~|[[WON'T BE LONG>難易度表/かんたん/WON'T BE LONG]]||
|~|[[キミにタッチ！>難易度表/かんたん/キミにタッチ！]]||
|~|[[グロリアス マインド>難易度表/かんたん/グロリアス　マインド]]||
|~|[[遥か>難易度表/かんたん/遥か]]||
|~|[[どかーん>難易度表/かんたん/どかーん]]||
|~|[[Tell Your World>難易度表/かんたん/Tell Your World]]||
|~|[[会いたかった>難易度表/かんたん/会いたかった]]||
|~|[[ジョジョ 〜その血の運命〜>難易度表/かんたん/ジョジョ 〜その血の運命〜]]||
|~|[[CANDY CANDY>難易度表/かんたん/CANDY CANDY]]||
|~|[[光るなら>難易度表/かんたん/光るなら]]||
|~|[[ハッピーシンセサイザ>難易度表/かんたん/ハッピーシンセサイザ]]||
|~|[[JOIN US>難易度表/かんたん/JOIN US]]||
|~|[[Winding Road>難易度表/かんたん/Winding Road]]||
|~|[[グラーヴェ>難易度表/かんたん/グラーヴェ]]||
|94|[[瞳をとじて>難易度表/かんたん/瞳をとじて]]||
|~|[[ハム太郎とっとこうた2005>難易度表/かんたん/ハム太郎とっとこうた2005]](Wii4除く)||
|~|[[笑点のテーマ>難易度表/かんたん/笑点のテーマ]]||
|~|[[Here I Am>難易度表/かんたん/Here I Am]](AC8〜)||
|~|[[ジングルベル第765番>難易度表/かんたん/ジングルベル第765番]]||
|~|[[TONIGHT,TONIGHT,TONIGHT>難易度表/かんたん/TONIGHT,TONIGHT,TONIGHT]]||
|~|[[きらきらキララ☆彡>難易度表/かんたん/きらきらキララ☆彡]]||
|~|[[夢をかなえてドラえもん>難易度表/かんたん/夢をかなえてドラえもん]](Wii1,4)||
|~|[[Alright! ハートキャッチプリキュア！>難易度表/かんたん/Alright! ハートキャッチプリキュア！]]||
|~|[[ウィーアー！>難易度表/かんたん/ウィーアー！(初代)]](きただにひろし)||
|~|[[いつかいつか>難易度表/かんたん/いつかいつか]]||
|~|[[The Other self>難易度表/かんたん/The Other self]]||
|~|[[炎と森のカーニバル>難易度表/かんたん/炎と森のカーニバル]]||
|~|[[ひまわりの約束>難易度表/かんたん/ひまわりの約束]]||
|~|[[さちさちにしてあげる♪>難易度表/かんたん/さちさちにしてあげる♪]]||
|~|[[&#22963;是我的花&#26421;>難易度表/かんたん/女尓是我的花朶]]||
|~|[[arcadia>難易度表/かんたん/arcadia]]||
|~|[[キミとボクのミライ>難易度表/かんたん/キミとボクのミライ]]||
|~|[[Tulip>難易度表/かんたん/Tulip]]||
|~|[[いただきバベル (Prod. ケンモチヒデフミ)>難易度表/かんたん/いただきバベル (Prod. ケンモチヒデフミ)]]||
|93|[[アンパンマンのマーチ>難易度表/かんたん/アンパンマンのマーチ]](DS1,Wii1除く)|[[Killer Queen>難易度表/かんたん/Killer Queen]](2人用2P)|
|~|[[チャレンジャー!!>難易度表/かんたん/チャレンジャー!!]]||
|~|[[Love so sweet>難易度表/かんたん/Love so sweet]]||
|~|[[ウルトラマンの歌>難易度表/かんたん/ウルトラマンの歌]](iOS〜)||
|~|[[ラヴァーズ>難易度表/かんたん/ラヴァーズ]]||
|~|[[ハルウタ>難易度表/かんたん/ハルウタ]]||
|~|[[Follow Me>難易度表/かんたん/Follow Me]]||
|~|[[only my railgun>難易度表/かんたん/only my railgun]]||
|~|[[怪盗ミラクル少年ボーイ>難易度表/かんたん/怪盗ミラクル少年ボーイ]]||
|~|[[ブラッドサーキュレーター>難易度表/かんたん/ブラッドサーキュレーター]]||
|~|[[明日も>難易度表/かんたん/明日も]]||
|~|[[大冒険タツドン>難易度表/かんたん/大冒険タツドン]]||
|92|[[SHAKE>難易度表/かんたん/SHAKE]]|[[I'm A Slave 4 U>難易度表/かんたん/I'm A Slave 4 U]](2人用1P)|
|~|[[ゲッチュウ！らぶらぶぅ?!>難易度表/かんたん/ゲッチュウ! らぶらぶぅ?!]]||
|~|[[お願い！セニョリータ>難易度表/かんたん/お願い！セニョリータ]]||
|~|[[ロシアの踊り「トレパーク」>難易度表/かんたん/ロシアの踊り「トレパーク」]]||
|~|[[くもまでとどけ！>難易度表/かんたん/くもまでとどけ！]]||
|~|[[Sha la la -アヤカシNIGHT->難易度表/かんたん/Sha la la -アヤカシNIGHT-]]||
|~|[[千の夜をこえて>難易度表/かんたん/千の夜をこえて]]||
|~|[[ソウルキャリバーIV IMMACULATE PLEDGE>難易度表/かんたん/ソウルキャリバーIV]]||
|~|[[ブルーバード>難易度表/かんたん/ブルーバード]]||
|~|[[曇天>難易度表/かんたん/曇天]]||
|~|[[激動>難易度表/かんたん/激動]]||
|~|[[LIFE>難易度表/かんたん/LIFE]]||
|~|[[じょいふる>難易度表/かんたん/じょいふる]]||
|~|[[バルーンファイト（バルーントリップ）>難易度表/かんたん/バルーンファイト（バルーントリップ）]]||
|~|[[ファミリーパーティー>難易度表/かんたん/ファミリーパーティー]]||
|~|[[祭り囃子でゲラゲラポー>難易度表/かんたん/祭り囃子でゲラゲラポー]]||
|~|[[隣に…>難易度表/かんたん/隣に･･･]]||
|~|[[Swan>難易度表/かんたん/Swan]]||
|~|[[命短し恋せよ乙女>難易度表/かんたん/命短し恋せよ乙女]]||
|91|[[Fun!Fun!★ふぁんたじー>難易度表/かんたん/Fun!Fun!★ふぁんたじー]]|[[【双打】 Extreme MGG★★★>難易度表/かんたん/【双打】 Extreme MGG★★★]](2P)|
|~|[[BON VOYAGE!>難易度表/かんたん/BON VOYAGE!]]||
|~|[[行け、メカドン！>難易度表/かんたん/行け、メカドン！]]||
|~|[[sakura>難易度表/かんたん/sakura]]||
|~|[[MOSKAU>難易度表/かんたん/MOSKAU]]||
|~|[[抱いてセニョリータ>難易度表/かんたん/抱いてセニョリータ]]||
|~|[[夢をかなえてドラえもん>難易度表/かんたん/夢をかなえてドラえもん]](Wii1,4除く)||
|~|[[DAYBREAK'S BELL>難易度表/かんたん/DAYBREAK'S BELL]]||
|~|[[ハピハピ>難易度表/かんたん/ハピハピ]]||
|~|[[帰ってきたウルトラマン>難易度表/かんたん/帰ってきたウルトラマン]]||
|~|[[マル・マル・モリ・モリ！>難易度表/かんたん/マル・マル・モリ・モリ!]]||
|~|[[TT -Japanese ver.->難易度表/かんたん/TT -Japanese ver.-]]||
|90|[[明日への扉>難易度表/かんたん/明日への扉]]|[[お祭り忍者>難易度表/かんたん/お祭り忍者]](2人用)|
|~|[[CHA-LA HEAD-CHA-LA>難易度表/かんたん/CHA-LA HEAD-CHA-LA]](AC8〜)||
|~|[[虹>難易度表/かんたん/虹]](Aqua Timez)((Wii1))||
|~|[[ニホンノミカタ-ネバダカラキマシタ>難易度表/かんたん/ニホンノミカタ]]||
|~|[[HANDS UP!>難易度表/かんたん/HANDS UP!]]||
|~|[[ゲラゲラポーのうた>難易度表/かんたん/ゲラゲラポーのうた]]||
|~|[[トゥッティ！>難易度表/かんたん/トゥッティ！]]||
|~|[[Bravely You>難易度表/かんたん/Bravely You]]||
|~|[[「ポケットモンスター サン・ムーン」メドレー>難易度表/かんたん/「ポケットモンスター サン・ムーン」メドレー]]||
|~|[[前前前世>難易度表/かんたん/前前前世]]||
|~|[[青天の黎明>難易度表/かんたん/青天の黎明]]||
|~|[[廻廻奇譚>難易度表/かんたん/廻廻奇譚]]||
|~|[[テーマ・オブ・半沢直樹 〜Main Title〜>難易度表/かんたん/テーマ・オブ・半沢直樹 〜Main Title〜]]||
|~|[[きらり>難易度表/かんたん/きらり]]||
|89|[[ね〜え？>難易度表/かんたん/ね〜え？]]|[[夢をかなえてドラえもん>難易度表/かんたん/夢をかなえてドラえもん]](2人用)((Wii1,4))|
|~|[[3年目の浮気>難易度表/かんたん/3年目の浮気]]||
|~|[[音符のうた>難易度表/かんたん/音符のうた]](CS4)||
|~|[[We Will Rock You>難易度表/かんたん/We Will Rock You]]||
|~|[[一輪の花>難易度表/かんたん/一輪の花]]||
|~|[[Allegro Cantabile>難易度表/かんたん/Allegro Cantabile]]||
|~|[[我有我的young>難易度表/かんたん/我有我的young]]||
|~|[[ヤッターマンの歌>難易度表/かんたん/ヤッターマンの歌(ET-KING)]](ET-KING)||
|~|[[君が主役さっ！>難易度表/かんたん/君が主役さっ！]]||
|~|[[歩いていこう>難易度表/かんたん/歩いていこう]]||
|~|[[Can Do>難易度表/かんたん/Can Do]]||
|~|[[RPG>難易度表/かんたん/RPG]]||
|~|[[みんなで対戦！朝までぷよぷよ>難易度表/かんたん/みんなで対戦！朝までぷよぷよ]]||
|~|[[マキシフュージョン>難易度表/かんたん/マキシフュージョン]]||
|~|[[ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ>難易度表/かんたん/ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ]]||
|~|[[Realize>難易度表/かんたん/Realize]]||
|~|[[Original Color Girls!!!!>難易度表/かんたん/Original Color Girls!!!!]]||
|88|[[true blue>難易度表/かんたん/true blue]](ZONE)|[[That's The Way(I Like It)>難易度表/かんたん/That's The Way(I Like It)]](2人用)|
|~|[[爆竜戦隊アバレンジャー>難易度表/かんたん/爆竜戦隊アバレンジャー]]|[[オトメロディー>難易度表/かんたん/オトメロディー]](2人用)|
|~|[[CHA-LA HEAD-CHA-LA>難易度表/かんたん/CHA-LA HEAD-CHA-LA]](PSP1)||
|~|[[轟轟戦隊ボウケンジャー>難易度表/かんたん/轟轟戦隊ボウケンジャー]]||
|~|[[88>難易度表/かんたん/88]]||
|~|[[素直になれたら>難易度表/かんたん/素直になれたら]]||
|~|[[Be your wings>難易度表/かんたん/Be your wings]]||
|~|[[ピラメキたいそう 太鼓の達人バージョン>難易度表/かんたん/ピラメキたいそう　太鼓の達人バージョン]]||
|~|[[School Days>難易度表/かんたん/School Days]]||
|~|[[サイコー・エブリデイ！>難易度表/かんたん/サイコー・エブリデイ！]]||
|~|[[レイン>難易度表/かんたん/レイン]]||
|~|[[My Soul,Your Beats!>難易度表/かんたん/My Soul,Your Beats!]]||
|~|[[ピラメキたいそう 太鼓でメタボやっつけろ！の巻>難易度表/かんたん/ピラメキたいそう　太鼓の達人バージョン]]||
|~|[[ポケモン言えるかな？BW>難易度表/かんたん/ポケモン言えるかな?BW]]||
|~|[[ロックン・ハート！>難易度表/かんたん/ロックン・ハート！]]||
|~|[[Daydream caf&eacute;>難易度表/かんたん/Daydream cafe]]||
|~|[[將軍令>難易度表/かんたん/將軍令(五月天)]](五月天)||
|~|[[ゼルダの伝説 ブレス オブ ザ ワイルド メドレー>難易度表/かんたん/ゼルダの伝説 ブレス オブ ザ ワイルド メドレー]]||
|~|[[LOSER>難易度表/かんたん/LOSER]]||
|~|[[カ！カ！カ！カミズモード！>難易度表/かんたん/カ！カ！カ！カミズモード！]]||
|~|[[チューリングラブ feat.Sou / ナナヲアカリ>難易度表/かんたん/チューリングラブ feat.Sou ／ ナナヲアカリ]]||
|87|[[ハム太郎とっとこうた>難易度表/かんたん/ハム太郎とっとこうた]]|[[The Loco-Motion>難易度表/かんたん/The Loco-Motion]](2人用)|
|~|[[キューティーハニー>難易度表/かんたん/キューティーハニー]](前川陽子)|[[さんぽ(裏)>難易度表/かんたん/さんぽ(裏譜面)]]|
|~|[[independent>難易度表/かんたん/independent]]||
|~|[[ワイワイワールド>難易度表/かんたん/ワイワイワールド]]||
|~|[[フレンジャー>難易度表/かんたん/フレンジャー]]||
|~|[[晴れる道 〜宇宙人に合わせる顔がねぇ！〜>難易度表/かんたん/晴れる道]]||
|~|[[太鼓乱舞 風の巻>難易度表/かんたん/太鼓乱舞 皆伝]]||
|~|[[''太鼓乱舞 皆伝''>難易度表/かんたん/太鼓乱舞 皆伝]](普通譜面)||
|~|[[將軍令>難易度表/かんたん/將軍令]](呉克群)||
|~|[[離開地球表面>難易度表/かんたん/離開地球表面]]||
|~|[[ハレ晴レユカイ>難易度表/かんたん/ハレ晴レユカイ]]||
|~|[[虹>難易度表/かんたん/虹]](Aqua Timez)((Wii1除く))||
|~|[[侍戦隊シンケンジャー>難易度表/かんたん/侍戦隊シンケンジャー]]||
|~|[[Ring a Ding Dong>難易度表/かんたん/Ring a Ding Dong]]||
|~|[[VICTORY>難易度表/かんたん/VICTORY]]||
|~|[[さんぽ>難易度表/かんたん/さんぽ]]||
|~|[[One day>難易度表/かんたん/One day]]||
|~|[[大器晩成>難易度表/かんたん/大器晩成]]||
|~|[[ギンギラ銀河>難易度表/かんたん/ギンギラ銀河]]||
|86|[[特捜戦隊デカレンジャー>難易度表/かんたん/特捜戦隊デカレンジャー]]|[[夢をかなえてドラえもん>難易度表/かんたん/夢をかなえてドラえもん]](2人用)((Wii1,4除く))|
|~|[[ルージュの伝言>難易度表/かんたん/ルージュの伝言]]||
|~|[[魔法使いサリー>難易度表/かんたん/魔法使いサリー]]||
|~|[[さくら（春）>難易度表/かんたん/さくら（春）]]||
|~|[[全力少年>難易度表/かんたん/全力少年]]||
|~|[[わらべ歌メドレー>難易度表/かんたん/わらべ歌メドレー]]||
|~|[[ひまわり>難易度表/かんたん/ひまわり]]||
|~|[[黄ダルマ2000>難易度表/かんたん/黄ダルマ2000]]||
|~|[[Sign>難易度表/かんたん/Sign]]||
|~|[[Paradisus-Paradoxum>難易度表/かんたん/Paradisus-Paradoxum]]||
|~|[[カゲロウ>難易度表/かんたん/カゲロウ]]||
|~|[[STAY TUNE>難易度表/かんたん/STAY TUNE]]||
|~|[[Donder Time>難易度表/かんたん/Donder Time]]||
|~|[[檄！帝国華撃団>難易度表/かんたん/檄！帝国華撃団]]||
|85|[[ドラえもんのうた>難易度表/かんたん/ドラえもんのうた]]||
|~|[[CHA-LA HEAD-CHA-LA>難易度表/かんたん/CHA-LA HEAD-CHA-LA]](〜CS3)||
|~|[[超特急>難易度表/かんたん/超特急]]||
|~|[[オトメロディー>難易度表/かんたん/オトメロディー]]||
|~|[[音符のうた>難易度表/かんたん/音符のうた]](PSP1〜)||
|~|[[ヒーロー>難易度表/かんたん/ヒーロー]]||
|~|[[勝って泣こうゼッ！>難易度表/かんたん/勝って泣こうゼッ！]]||
|~|[[バイマイサイド>難易度表/かんたん/バイマイサイド]]||
|~|[[ペガサス幻想>難易度表/かんたん/ペガサス幻想]]||
|~|[[ワタリドリ>難易度表/かんたん/ワタリドリ]]||
|~|[[Groovy Duel>難易度表/かんたん/Groovy Duel]]||
|~|[[音符のうた -English Version->難易度表/かんたん/音符のうた -English Version-]]||
|~|[[I Want You Back>難易度表/かんたん/I Want You Back]]||
|84|[[キャンディ キャンディ>難易度表/かんたん/キャンディ キャンディ]](アニメ祭)|[[Love Shack>難易度表/かんたん/Love Shack]](2人用)|
|~|[[決意の朝に>難易度表/かんたん/決意の朝に]](DS1〜)|[[Lady Marmalade>難易度表/かんたん/Lady Marmalade]](2人用1P)|
|~|[[みかんのうた>難易度表/かんたん/みかんのうた]]|[[Tank!(裏)>難易度表/かんたん/Tank!(裏譜面)]]|
|~|[[潘朶拉>難易度表/かんたん/潘朶拉]]||
|~|[[ハッピーでリッパ！>難易度表/かんたん/ハッピーでリッパ！]]||
|~|[[last cross>難易度表/かんたん/last cross]]||
|~|[[ケロッ！とマーチ>難易度表/かんたん/ケロッ！とマーチ]]||
|~|[[SORA-II グリーゼ581>難易度表/かんたん/SORA-II グリーゼ581]]||
|~|[[Love Forever>難易度表/かんたん/Love Forever]]||
|~|[[ウルトラマンA>難易度表/かんたん/ウルトラマンA]]||
|~|[[よく遊びよく学べ>難易度表/かんたん/よく遊びよく学べ]]||
|~|[[Flowre Song>難易度表/かんたん/Flower Song]]||
|~|[[Shine!!>難易度表/かんたん/Shine!!]]||
|~|[[星のカービィメドレー>難易度表/かんたん/星のカービィメドレー]]||
|~|[[サイレントマジョリティー>難易度表/かんたん/サイレントマジョリティー]]||
|~|[[チェインクロニクル 総力戦メドレー>難易度表/かんたん/チェインクロニクル 総力戦メドレー]]||
|~|[[恋>難易度表/かんたん/恋]]||
|83|[[おさかな天国>難易度表/かんたん/おさかな天国]]||
|~|[[マッピー音頭>難易度表/かんたん/マッピー音頭]]||
|~|[[サザエさん>難易度表/かんたん/サザエさん]]||
|~|[[勇気りんりん>難易度表/かんたん/勇気りんりん]](アニメ祭)||
|~|[[青いベンチ>難易度表/かんたん/青いベンチ]]||
|~|[[初恋列車>難易度表/かんたん/初恋列車]]||
|~|[[キャンディ キャンディ>難易度表/かんたん/キャンディ キャンディ]](AC7〜)||
|~|[[呪文降臨〜マジカル・フォース>難易度表/かんたん/呪文降臨〜マジカル・フォース]]||
|~|[[アルプス一万尺>難易度表/かんたん/アルプス一万尺]]||
|~|[[HOT LIMIT>難易度表/かんたん/HOT LIMIT]]||
|~|[[「軽騎兵」序曲から>難易度表/かんたん/「軽騎兵」序曲から]]||
|~|[[踊れ・どれ・ドラ ドラえもん音頭>難易度表/かんたん/踊れ・どれ・ドラ　ドラえもん音頭]]||
|~|[[毎日かあさん>難易度表/かんたん/毎日かあさん]]||
|~|[[ETERNAL BLAZE>難易度表/かんたん/ETERNAL BLAZE]]||
|~|[[君の知らない物語>難易度表/かんたん/君の知らない物語]]||
|~|[[ドリームパレード>難易度表/かんたん/ドリームパレード]]||
|~|[[熱情のスペクトラム>難易度表/かんたん/熱情のスペクトラム]]||
|~|[[Good-bye my earth>難易度表/かんたん/Good-bye my earth]]||
